设计中的设计 | 全本, [日] 原研哉, 广西师范大学出版社, 2010-09
佛教的见地与修道, 宗萨钦哲仁波切, 甘肃民族出版社, 2006-5
上学记, 何兆武（口述） / 文靖, 生活·读书·新知三联书店, 2008-9
人生的智慧, [德] 阿图尔·叔本华, 上海人民出版社, 2008-10
金蔷薇, [俄]康·帕乌斯托夫斯基, 上海译文出版社, 2007-3
张国荣的时光, 志摩千岁, 上海书店出版社, 2011-12
岁朝清供, 汪曾祺, 生活·读书·新知三联书店, 2010-1-1
华夏意匠, 李允鉌, 天津大学出版社, 2005-5-1
万物刹那又永恒, [英] 吉米·哈利, 中国城市出版社, 2011-1
发现之旅, 托尼•赖斯, 商务印书馆, 2012-1-1
論語譯註,, 中华书局, 1980
中国文化要义, 梁漱溟, 上海人民出版社, 2005-05
野草, 鲁迅, 人民文学出版社, 1973年3月
中国法律与中国社会, 瞿同祖, 中华书局, 2003-09-01
庄子諵譁（上）, 南怀瑾, 上海人民出版社, 2007.6
古代汉语（第一册）, 王力 主编, 中华书局, 1999-5
返璞归真, C.S.路易斯, 华东师范大学出版社, 2007-3
费马大定理, Simon Singh, 上海译文出版社, 2005-05-01
超越时空," [美] 加来道雄（Kaku, M）", 上海科技教育出版社, 2009-6
古詩源, [清] 沈德潛, 中华书局, 2006-4
此生未完成, 于娟, 湖南科技出版社, 2011-5
惶然录, （葡萄牙）费尔南多·佩索阿 / none / none, 上海文艺出版社, 1995年5月第一版
蒋勋说红楼梦（第一辑）, 蒋勋, 上海三联书店, 2010-9
大问题, [美] 罗伯特·所罗门, 广西师范大学出版社, 2011-1
阿莱夫, [阿根廷]豪·路·博尔赫斯, 浙江文艺出版社, 2008-2
杀死一只反舌鸟, [美]哈珀·李, 译林出版社, 2009-2-1
故事, [美] 罗伯特·麦基, 中国电影出版社, 2001-8
逻辑哲学论, [奥] 维特根斯坦, 商务印书馆, 1996-12
纳尔齐斯与歌尔德蒙, [德]赫尔曼·黑塞, 上海译文出版社, 2007-7
新千年文学备忘录, (意)伊塔洛·卡尔维诺, 译林出版社, 2009-3
白鹿原, 陈忠实, 北京十月文艺出版社, 2008-5
博尔赫斯全集, [阿根廷] 豪·路·博尔赫斯, 浙江文艺出版社, 1999-11
传奇(上下), 张爱玲, 经济日报出版社, 2003-1-1
人生的枷锁, [英] 毛姆, 上海译文出版社, 2007-3
神经外科的黑色喜剧, [美]法兰克·佛杜锡克 著 / 吴程远 译, 湖南科学技术出版社, 2006-5
采桑子, 叶广芩, 北京出版社, 2009-1
围城, 钱钟书, 生活·读书·新知三联书店, 2002-5
写在人生边上 写在人生边上的边上 石语, 钱钟书, 生活·读书·新知三联书店, 2001-1
人间是剧场, 宗萨蒋扬钦哲仁波切, 新星出版社, 2010-10
平如美棠, 饶平如, 广西师范大学出版社, 2013-5-1
悲惨世界（上下）, 雨果, 上海译文出版社, 2006-8
学术与政治, [德] 马克斯·韦伯, 生活·读书·新知三联书店, 2005-03
心灵的焦灼, 斯台芬·茨威格, 上海译文出版社, 2007-7
论语新解, 钱穆, 生活·读书·新知三联书店, 2005-3
虚构集, [阿根廷]豪·路·博尔赫斯, 浙江文艺出版社, 2008-2
毛毛, 米切尔・恩德, 二十一世纪出版社, 2000-2-1
大明宫词, 郑重 / 王要, 人民文学出版社, 2000-6-1
联邦党人文集, 汉密尔顿 / 杰伊 / 麦迪逊, 商务印书馆, 1980
锦灰堆, 王世襄, 生活·读书·新知三联书店, 1999-08
来自民间的叛逆, 袁越, 南京大学出版社, 2008-8
古拉格群岛（上中下）, [俄] 亚历山大·索尔仁尼琴, 群众出版社, 1996-12
美国宪政历程, 任东来 / 陈伟 / 白雪峰, 中国法制出版社, 2014-1
洞穴奇案, [美] 萨伯, 生活·读书·新知三联书店, 2009-06
哈尔罗杰历险记(全套共14册), 威勒德·普赖斯, 北京少年儿童出版社, 1998-05-01
深入理解计算机系统, Randal E.Bryant / David O'Hallaron, 中国电力出版社, 2004-5-1
艺术的故事, [英] 贡布里希 (Sir E.H.Gombrich), 生活·读书·新知三联书店, 1999-11-01
冰与火之歌（卷三）, [美] 乔治.R.R.马丁, 重庆出版社, 2007-1
牛津高阶英汉双解词典 （第六版）, [英] A. S. Hornby 原著 / Sally Wehmeier 主编 / Michael Ashby 语音编辑, 商务印书馆 牛津大学出版社, 2004-8
费恩曼物理学讲义（第1卷）, Richard P. Feynman / Robert B. Leighton / Matthew Sands, 上海科学技术出版社, 2005-06
滚蛋吧!肿瘤君, 熊顿, 北京理工大学出版社, 2012-9-1
红楼梦, [清] 曹雪芹 著 / 高鹗 续, 人民文学出版社, 1996-12
塔希里亚故事集, 吴淼, 接力出版社, 2007
百年孤独, [哥伦比亚] 加西亚·马尔克斯, 南海出版公司, 2011-6
算法导论（原书第2版）, [美] Thomas H.Cormen / Charles E.Leiserson / Ronald L.Rivest / Clifford Stein, 机械工业出版社, 2006-9
